record_id,buyer_firm,supplier_firm,product_name,product_category,quantity,unit,source_location,destination_location,contract_id,start_date,end_date,last_updated
1017,TradeCorp,Taiwan MicroTech,Copper Wire,Metals,34854.87,kg,Bangladesh,Germany,C-3117,2026-01-06,2027-06-26,2026-01-07
1018,SupplyNet,Asia Metals Ltd,Plastic Granules,Polymers,13319.51,kg,China,UK,C-4256,2025-07-25,2026-04-03,2026-01-07
1019,SupplyNet,LatAm Agri,Steel Rods,Metals,13794.14,kg,Vietnam,USA,C-4121,2025-10-09,2027-02-15,2026-01-07
1020,SupplyNet,Asia Metals Ltd,Fertilizer,Chemicals,29151.78,kg,Brazil,USA,C-8034,2026-01-02,2027-02-07,2026-01-07
1021,TradeCorp,UAE Plastics,Textiles,Apparel,42540.46,meters,India,Germany,C-5342,2025-12-02,2027-07-30,2026-01-07
1022,RetailHub,UAE Plastics,Microchips,Electronics,12550.65,units,Turkey,Japan,C-3466,2025-09-15,2027-05-11,2026-01-07
1023,MegaStores,Chile Copper Co,Microchips,Electronics,13713.48,units,Vietnam,Germany,C-2265,2025-07-25,2027-06-18,2026-01-07
1024,MegaStores,Taiwan MicroTech,Plastic Granules,Polymers,24737.97,kg,Turkey,Japan,C-1374,2025-09-10,2025-12-21,2026-01-07
1025,SupplyNet,Chile Copper Co,Fertilizer,Chemicals,18686.65,kg,China,Japan,C-3307,2025-12-14,2026-05-01,2026-01-07
1026,RetailHub,Nordic Components,Copper Wire,Metals,12563.32,kg,Vietnam,Germany,C-5125,2026-01-28,2027-02-07,2026-01-07
1027,GlobalMart,Vietnam Steel,Microchips,Electronics,18225.74,units,India,India,C-1152,2025-12-26,2027-10-30,2026-01-07
1028,MegaStores,Asia Metals Ltd,Copper Wire,Metals,20404.55,kg,Turkey,India,C-3330,2026-01-06,2026-06-09,2026-01-07
1029,RetailHub,Nordic Components,Fertilizer,Chemicals,20999.94,kg,India,Germany,C-4404,2025-10-02,2026-05-21,2026-01-07
1030,MegaStores,EuroChem,Microchips,Electronics,27178.63,units,Bangladesh,USA,C-6316,2025-10-07,2027-03-24,2026-01-07
1031,MegaStores,Vietnam Steel,Fertilizer,Chemicals,41628.4,kg,Bangladesh,UK,C-8455,2025-12-16,2027-09-21,2026-01-07
1032,SupplyNet,LatAm Agri,Textiles,Apparel,28182.36,meters,China,Germany,C-6969,2025-07-11,2026-12-28,2026-01-07
1033,MegaStores,Vietnam Steel,Textiles,Apparel,12319.5,meters,Chile,USA,C-1654,2025-10-13,2026-08-29,2026-01-07
1034,MegaStores,Nordic Components,Steel Rods,Metals,48824.83,kg,Vietnam,Germany,C-6815,2025-09-25,2026-09-21,2026-01-07
1035,TradeCorp,EuroChem,Plastic Granules,Polymers,16243.52,kg,Turkey,India,C-7587,2025-08-01,2026-06-04,2026-01-07
1036,GlobalMart,Chile Copper Co,Steel Rods,Metals,19564.02,kg,Bangladesh,USA,C-5794,2026-01-07,2027-12-13,2026-01-07
1037,TradeCorp,Taiwan MicroTech,Textiles,Apparel,18508.21,meters,Chile,Japan,C-6532,2026-01-07,2026-11-04,2026-01-07
1038,MegaStores,UAE Plastics,Steel Rods,Metals,9460.07,kg,Bangladesh,UK,C-1986,2025-09-26,2027-05-04,2026-01-07
1039,SupplyNet,LatAm Agri,Microchips,Electronics,47570.9,units,Turkey,Japan,C-2430,2026-01-11,2026-09-23,2026-01-07
1040,SupplyNet,Chile Copper Co,Textiles,Apparel,15386.81,meters,Taiwan,Japan,C-7272,2025-12-21,2027-09-22,2026-01-07
1041,TradeCorp,Pacific Textiles,Steel Rods,Metals,47949.86,kg,UAE,UK,C-4705,2025-08-22,2027-04-21,2026-01-07
1042,RetailHub,Chile Copper Co,Plastic Granules,Polymers,17873.87,kg,Vietnam,USA,C-5985,2025-08-15,2026-10-07,2026-01-07
1043,RetailHub,Asia Metals Ltd,Steel Rods,Metals,16592.13,kg,Chile,India,C-4984,2026-02-06,2026-11-30,2026-01-07
1044,RetailHub,Chile Copper Co,Fertilizer,Chemicals,35600.61,kg,Vietnam,India,C-8010,2025-09-02,2026-04-24,2026-01-07
1045,MegaStores,Taiwan MicroTech,Microchips,Electronics,10791.53,units,Turkey,UK,C-7198,2025-08-17,2026-10-21,2026-01-07
1046,TradeCorp,UAE Plastics,Plastic Granules,Polymers,16912.2,kg,Brazil,UK,C-6968,2025-08-22,2026-04-08,2026-01-07
1047,SupplyNet,Nordic Components,Copper Wire,Metals,3396.02,kg,Vietnam,India,C-5635,2025-08-22,2026-02-05,2026-01-07
1048,TradeCorp,Taiwan MicroTech,Plastic Granules,Polymers,26655.6,kg,China,Germany,C-4622,2025-08-07,2026-10-11,2026-01-07
1049,SupplyNet,Pacific Textiles,Copper Wire,Metals,1428.57,kg,China,Germany,C-5636,2025-12-16,2027-10-03,2026-01-07
1050,GlobalMart,Nordic Components,Textiles,Apparel,30553.29,meters,Taiwan,UK,C-2255,2025-08-08,2026-07-07,2026-01-07
