record_id,buyer_firm,supplier_firm,contract_id,product_name,product_category,quantity,unit,start_date,end_date,last_updated,source_country,source_region,source_city,destination_country,supplier_industry,primary_transport_mode,port_dependency
14,ZentivoCorp,Quorvia Systems,CTR-3003,Power Units,Electronics,2800,units,2025-03-01,2026-03-01,2026-01-10,Vietnam,Binh Duong,Thu Dau Mot,India,Electronics,Sea,Medium
15,ZentivoCorp,Quorvia Systems,CTR-3003,Signal Chips,Electronics,3100,units,2025-03-01,2026-03-01,2026-01-10,Vietnam,Binh Duong,Thu Dau Mot,India,Electronics,Sea,Medium
16,ZentivoCorp,Axelium Works,CTR-4004,Automotive Gears,Automotive,800,sets,2025-04-01,2026-04-01,2026-01-12,Turkey,Marmara,Bursa,India,Automotive,Sea,Medium
17,ZentivoCorp,Axelium Works,CTR-4004,Brake Assemblies,Automotive,900,sets,2025-04-01,2026-04-01,2026-01-12,Turkey,Marmara,Bursa,India,Automotive,Sea,Medium
18,ZentivoCorp,Axelium Works,CTR-4004,Axle Components,Automotive,750,sets,2025-04-01,2026-04-01,2026-01-12,Turkey,Marmara,Bursa,India,Automotive,Sea,Medium
19,ZentivoCorp,Axelium Works,CTR-4004,Engine Mounts,Automotive,680,sets,2025-04-01,2026-04-01,2026-01-12,Turkey,Marmara,Bursa,India,Automotive,Sea,Medium
20,ZentivoCorp,Axelium Works,CTR-4004,Suspension Kits,Automotive,720,sets,2025-04-01,2026-04-01,2026-01-12,Turkey,Marmara,Bursa,India,Automotive,Sea,Medium
21,ZentivoCorp,Virelox Trading,CTR-5005,Plastic Granules,Polymers,9000,kg,2025-05-01,2026-05-01,2026-01-15,UAE,Dubai,Dubai,India,Trading,Sea,High
22,ZentivoCorp,Virelox Trading,CTR-5005,PVC Sheets,Polymers,7000,kg,2025-05-01,2026-05-01,2026-01-15,UAE,Dubai,Dubai,India,Trading,Sea,High
23,ZentivoCorp,Virelox Trading,CTR-5005,HDPE Pellets,Polymers,8500,kg,2025-05-01,2026-05-01,2026-01-15,UAE,Dubai,Dubai,India,Trading,Sea,High
24,ZentivoCorp,Virelox Trading,CTR-5005,Polymer Resin,Polymers,7800,kg,2025-05-01,2026-05-01,2026-01-15,UAE,Dubai,Dubai,India,Trading,Sea,High
25,ZentivoCorp,Virelox Trading,CTR-5005,Industrial Plastics,Polymers,8200,kg,2025-05-01,2026-05-01,2026-01-15,UAE,Dubai,Dubai,India,Trading,Sea,High
26,ZentivoCorp,Stronvia Solutions,CTR-6006,Industrial Valves,Engineering,400,units,2025-06-01,2026-06-01,2026-01-18,Poland,Silesia,Katowice,India,Engineering,Road,Low
27,ZentivoCorp,Stronvia Solutions,CTR-6006,Pressure Gauges,Engineering,380,units,2025-06-01,2026-06-01,2026-01-18,Poland,Silesia,Katowice,India,Engineering,Road,Low
28,ZentivoCorp,Stronvia Solutions,CTR-6006,Flow Meters,Engineering,360,units,2025-06-01,2026-06-01,2026-01-18,Poland,Silesia,Katowice,India,Engineering,Road,Low
29,ZentivoCorp,Stronvia Solutions,CTR-6006,Hydraulic Fittings,Engineering,420,units,2025-06-01,2026-06-01,2026-01-18,Poland,Silesia,Katowice,India,Engineering,Road,Low
30,ZentivoCorp,Stronvia Solutions,CTR-6006,Pneumatic Parts,Engineering,390,units,2025-06-01,2026-06-01,2026-01-18,Poland,Silesia,Katowice,India,Engineering,Road,Low
31,ZentivoCorp,Krydonix Ltd.,CTR-7007,Semiconductor Wafers,Electronics,1200,units,2025-07-01,2026-07-01,2026-01-20,South Korea,Gyeonggi,Suwon,India,Electronics,Air,Low
32,ZentivoCorp,Krydonix Ltd.,CTR-7007,Memory Chips,Electronics,1800,units,2025-07-01,2026-07-01,2026-01-20,South Korea,Gyeonggi,Suwon,India,Electronics,Air,Low
33,ZentivoCorp,Krydonix Ltd.,CTR-7007,Logic ICs,Electronics,1600,units,2025-07-01,2026-07-01,2026-01-20,South Korea,Gyeonggi,Suwon,India,Electronics,Air,Low
